playerID,yearID,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
andruel01,2017,vs LHP as RHB,74,,155,143,,42,9,0,7,21,0,0,10,22,.294,.342,.503,.845,72,4,1,0,1,0,2,.304,108,118
andruel01,2017,vs RH Starter,118,118,512,480,74,142,34,4,13,62,24,6,27,76,.296,.333,.465,.797,223,16,1,1,3,0,3,.327,98,111
andruel01,2017,vs LH Starter,40,40,177,163,26,49,10,0,7,26,1,4,11,25,.301,.350,.491,.841,80,2,2,0,1,0,4,.318,108,124
andruel01,2018,vs RHP,94,,293,272,34,70,10,3,3,22,5,0,17,48,.257,.304,.349,.653,95,4,2,0,2,0,4,.300,94,80
andruel01,2018,vs LHP,59,,135,123,19,31,10,0,3,11,0,3,11,18,.252,.319,.407,.725,50,4,1,0,0,0,6,.275,115,102
andruel01,2018,vs RHP as RHB,94,,293,272,,70,10,3,3,22,0,0,17,48,.257,.304,.349,.653,95,4,2,0,2,0,4,.300,94,85
andruel01,2018,vs LHP as RHB,59,,135,123,,31,10,0,3,11,0,0,11,18,.252,.319,.407,.725,50,4,1,0,0,0,6,.275,115,96
andruel01,2018,vs RH Starter,61,60,270,249,32,64,9,1,3,20,3,2,18,38,.257,.311,.337,.648,84,3,2,0,1,0,3,.292,93,80
andruel01,2018,vs LH Starter,36,36,158,146,21,37,11,2,3,13,2,1,10,28,.253,.304,.418,.722,61,5,1,0,1,0,7,.293,113,99
andruel01,2019,vs RHP,142,,450,418,56,115,18,2,8,50,22,7,22,66,.275,.311,.385,.696,161,12,3,0,7,0,9,.305,97,86
andruel01,2019,vs LHP,87,,198,182,25,50,9,2,4,22,9,1,12,30,.275,.318,.412,.730,75,4,1,0,3,1,3,.305,106,90
andruel01,2019,vs RHP as RHB,142,,450,418,,115,18,2,8,50,0,0,22,66,.275,.311,.385,.696,161,12,3,0,7,0,9,.305,97,91
